Benchmarked File: lib\adressdaten.csv
------------------------------
Results after 100 runs: 

Average: 0.122419334 seconds
------------------------------

Run 1:    |  0.161312 seconds
Run 2:    |  0.1786512 seconds
Run 3:    |  0.1205091 seconds
Run 4:    |  0.1440514 seconds
Run 5:    |  0.132838 seconds
Run 6:    |  0.1296683 seconds
Run 7:    |  0.1128235 seconds
Run 8:    |  0.1121739 seconds
Run 9:    |  0.1170788 seconds
Run 10:   |  0.1196155 seconds
Run 11:   |  0.1179188 seconds
Run 12:   |  0.1177322 seconds
Run 13:   |  0.1309602 seconds
Run 14:   |  0.1235074 seconds
Run 15:   |  0.1134049 seconds
Run 16:   |  0.1192248 seconds
Run 17:   |  0.119056 seconds
Run 18:   |  0.1227895 seconds
Run 19:   |  0.12088 seconds
Run 20:   |  0.1223149 seconds
Run 21:   |  0.1282557 seconds
Run 22:   |  0.115642 seconds
Run 23:   |  0.1219798 seconds
Run 24:   |  0.1176436 seconds
Run 25:   |  0.1194849 seconds
Run 26:   |  0.1190356 seconds
Run 27:   |  0.119128 seconds
Run 28:   |  0.1021419 seconds
Run 29:   |  0.1235287 seconds
Run 30:   |  0.1218349 seconds
Run 31:   |  0.1299015 seconds
Run 32:   |  0.1184874 seconds
Run 33:   |  0.1398696 seconds
Run 34:   |  0.119967 seconds
Run 35:   |  0.1231122 seconds
Run 36:   |  0.1168916 seconds
Run 37:   |  0.1332041 seconds
Run 38:   |  0.11887 seconds
Run 39:   |  0.1217476 seconds
Run 40:   |  0.1182201 seconds
Run 41:   |  0.1053212 seconds
Run 42:   |  0.1206044 seconds
Run 43:   |  0.1185382 seconds
Run 44:   |  0.1182603 seconds
Run 45:   |  0.1247861 seconds
Run 46:   |  0.1185805 seconds
Run 47:   |  0.1197515 seconds
Run 48:   |  0.1135856 seconds
Run 49:   |  0.1182347 seconds
Run 50:   |  0.1231782 seconds
Run 51:   |  0.1184678 seconds
Run 52:   |  0.1179069 seconds
Run 53:   |  0.1200911 seconds
Run 54:   |  0.1196487 seconds
Run 55:   |  0.1249432 seconds
Run 56:   |  0.1164467 seconds
Run 57:   |  0.1245462 seconds
Run 58:   |  0.150374 seconds
Run 59:   |  0.1270895 seconds
Run 60:   |  0.1126406 seconds
Run 61:   |  0.1263836 seconds
Run 62:   |  0.1148083 seconds
Run 63:   |  0.1272432 seconds
Run 64:   |  0.1169407 seconds
Run 65:   |  0.1190627 seconds
Run 66:   |  0.1221678 seconds
Run 67:   |  0.1195973 seconds
Run 68:   |  0.1180839 seconds
Run 69:   |  0.1268325 seconds
Run 70:   |  0.1201805 seconds
Run 71:   |  0.1175295 seconds
Run 72:   |  0.1159695 seconds
Run 73:   |  0.1195825 seconds
Run 74:   |  0.1353093 seconds
Run 75:   |  0.1262012 seconds
Run 76:   |  0.1168082 seconds
Run 77:   |  0.126334 seconds
Run 78:   |  0.1183936 seconds
Run 79:   |  0.1165847 seconds
Run 80:   |  0.1206345 seconds
Run 81:   |  0.117312 seconds
Run 82:   |  0.1259272 seconds
Run 83:   |  0.1192315 seconds
Run 84:   |  0.1168099 seconds
Run 85:   |  0.1441395 seconds
Run 86:   |  0.1279689 seconds
Run 87:   |  0.1304171 seconds
Run 88:   |  0.1217408 seconds
Run 89:   |  0.1195707 seconds
Run 90:   |  0.1295011 seconds
Run 91:   |  0.1173726 seconds
Run 92:   |  0.1222846 seconds
Run 93:   |  0.1271825 seconds
Run 94:   |  0.1158874 seconds
Run 95:   |  0.1178331 seconds
Run 96:   |  0.1082114 seconds
Run 97:   |  0.1178321 seconds
Run 98:   |  0.1242248 seconds
Run 99:   |  0.1188799 seconds
Run 100:  |  0.1165068 seconds
 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
 
