Name,Data order,Sample size,Steps,Time in s
BubbleSort,RANDOM,20000,399960001,0.425234
BubbleSort,ASCENDING,20000,399960001,0.094375
BubbleSort,DESCENDING,20000,399960001,0.129477
BubbleSortImproved,RANDOM,20000,199981089,0.385421
BubbleSortImproved,ASCENDING,20000,19999,0.000130
BubbleSortImproved,DESCENDING,20000,199990000,0.160230
SelectionSort,RANDOM,20000,199990000,0.064398
SelectionSort,ASCENDING,20000,199990000,0.059402
SelectionSort,DESCENDING,20000,199990000,0.059995
InsertionSort,RANDOM,20000,99839499,0.083326
InsertionSort,ASCENDING,20000,0,0.000049
InsertionSort,DESCENDING,20000,199970001,0.138944
BubbleSort,RANDOM,20000,399960001,0.416296
BubbleSort,ASCENDING,20000,399960001,0.079746
BubbleSort,DESCENDING,20000,399960001,0.246038
BubbleSortImproved,RANDOM,20000,199976797,0.358206
BubbleSortImproved,ASCENDING,20000,19999,0.000047
BubbleSortImproved,DESCENDING,20000,199990000,0.208835
SelectionSort,RANDOM,20000,199990000,0.061236
SelectionSort,ASCENDING,20000,199990000,0.058002
SelectionSort,DESCENDING,20000,199990000,0.068015
InsertionSort,RANDOM,20000,99528872,0.013959
InsertionSort,ASCENDING,20000,0,0.000015
InsertionSort,DESCENDING,20000,199970001,0.028012
BubbleSort,RANDOM,20000,399960001,0.411181
BubbleSort,ASCENDING,20000,399960001,0.073553
BubbleSort,DESCENDING,20000,399960001,0.247708
BubbleSortImproved,RANDOM,20000,199981354,0.353787
BubbleSortImproved,ASCENDING,20000,19999,0.000051
BubbleSortImproved,DESCENDING,20000,199990000,0.209458
SelectionSort,RANDOM,20000,199990000,0.061216
SelectionSort,ASCENDING,20000,199990000,0.057851
SelectionSort,DESCENDING,20000,199990000,0.065586
InsertionSort,RANDOM,20000,100565898,0.017674
InsertionSort,ASCENDING,20000,0,0.000016
InsertionSort,DESCENDING,20000,199970001,0.028449
BubbleSort,RANDOM,20000,399960001,0.400729
BubbleSort,ASCENDING,20000,399960001,0.084566
BubbleSort,DESCENDING,20000,399960001,0.129197
BubbleSortImproved,RANDOM,20000,199974424,0.225552
BubbleSortImproved,ASCENDING,20000,19999,0.000025
BubbleSortImproved,DESCENDING,20000,199990000,0.206502
SelectionSort,RANDOM,20000,199990000,0.050257
SelectionSort,ASCENDING,20000,199990000,0.050207
SelectionSort,DESCENDING,20000,199990000,0.059738
InsertionSort,RANDOM,20000,99920635,0.014277
InsertionSort,ASCENDING,20000,0,0.000016
InsertionSort,DESCENDING,20000,199970001,0.029456
BubbleSort,RANDOM,20000,399960001,0.404286
BubbleSort,ASCENDING,20000,399960001,0.091706
BubbleSort,DESCENDING,20000,399960001,0.148800
BubbleSortImproved,RANDOM,20000,199963894,0.351862
BubbleSortImproved,ASCENDING,20000,19999,0.000045
BubbleSortImproved,DESCENDING,20000,199990000,0.209096
